k,delta_omega,seed,dt,t_max,plv_window_seconds,r_mean_last,plv_mean_last,anti_mean_last,omega_0,omega_1
-2.0,0.0,1,0.01,120.0,2.0,1.5092919927490817e-13,1.0,0.9999999999999046,1.5875401751674458,1.5875401751674458
-2.0,0.0,2,0.01,120.0,2.0,7.569019370641607e-14,1.0,0.999999999999952,1.4749728705234588,1.4749728705234588
-2.0,0.0,3,0.01,120.0,2.0,8.820317488393176e-15,1.0000000000000002,0.999999999999991,1.4613940567553252,1.4613940567553252
-2.0,0.0,4,0.01,120.0,2.0,6.042918552295186e-14,1.0,0.9999999999999631,1.43801186662969,1.43801186662969
-2.0,0.0,5,0.01,120.0,2.0,7.046057640256451e-14,1.0000000000000002,0.9999999999999537,1.3405282184338807,1.3405282184338807
-2.0,0.2,1,0.01,120.0,2.0,0.050062775059667226,1.000000000000176,0.9681157195708471,1.687540175167446,1.4875401751674457
-2.0,0.2,2,0.01,120.0,2.0,0.05006277505974918,1.0000000000001918,0.9681157195707984,1.574972870523459,1.3749728705234587
-2.0,0.2,3,0.01,120.0,2.0,0.05006277505982677,1.0000000000002094,0.9681157195707419,1.5613940567553253,1.361394056755325
-2.0,0.2,4,0.01,120.0,2.0,0.05006277505987572,1.0000000000002205,0.9681157195707082,1.53801186662969,1.3380118666296898
-2.0,0.2,5,0.01,120.0,2.0,0.05006277505988331,1.0000000000002185,0.9681157195707137,1.4405282184338808,1.2405282184338806
-2.0,0.4,1,0.01,120.0,2.0,0.1005089620050501,1.0000000000005875,0.9359057831511526,1.7875401751674458,1.3875401751674459
-2.0,0.4,2,0.01,120.0,2.0,0.10050896200513239,1.000000000000613,0.9359057831511193,1.6749728705234588,1.2749728705234589
-2.0,0.4,3,0.01,120.0,2.0,0.10050896200522229,1.0000000000006244,0.9359057831510695,1.6613940567553251,1.2613940567553252
-2.0,0.4,4,0.01,120.0,2.0,0.10050896200527007,1.0000000000006737,0.9359057831510295,1.63801186662969,1.23801186662969
-2.0,0.4,5,0.01,120.0,2.0,0.10050896200526589,1.000000000000668,0.9359057831510025,1.5405282184338807,1.1405282184338807
-2.0,0.6,1,0.01,120.0,2.0,0.151757699282375,1.0000000000004656,0.9030133159794593,1.8875401751674459,1.2875401751674458
-2.0,0.6,2,0.01,120.0,2.0,0.1517576992824567,1.000000000000483,0.9030133159794517,1.7749728705234589,1.1749728705234588
-2.0,0.6,3,0.01,120.0,2.0,0.1517576992825461,1.0000000000005926,0.9030133159793203,1.7613940567553252,1.1613940567553251
-2.0,0.6,4,0.01,120.0,2.0,0.1517576992825936,1.0000000000006153,0.9030133159793227,1.73801186662969,1.13801186662969
